negative_word,count1,non_negative_word,count2
existing,6,TPA,6
thankful,4,MCI,4
thnx,7,connection,121
But,35,connect,16
yea,4,todays,3
anymore,6,play,11
run,11,ewr,7
following,27,2hrs,21
page,6,finally,57
iah,3,taking,47
AirlineGeeks,3,changed,45
avgeek,18,official,3
enjoyed,4,Almost,10
tell,33,morning,85
favorite,19,sucks,47
schedule,15,room,39
gives,4,storm,22
loyalty,3,point,54
Jetblue,7,getittogether,4
else,9,Except,3
Want,4,hangs,25
confirm,10,continuing,6
Anniversary,4,snow,30
Livery,3,missing,86
Digital,5,reservations,46
Journal,15,possibly,14
hate,4,bad,134
internet,3,southwestair,16
lol,21,rescheduling,8
two,46,several,24
option,14,friendlyskies,3
finally,37,complete,24
gates,6,information,42
terminal,16,rocks,3
watch,8,horror,3
Family,3,anywhere,18
App,7,except,17
Adds,4,IAH,32
Travel,6,insane,9
person,17,Flightlations,25
knew,3,posted,6
JUST,5,7am,9
complain,7,LAX,62
hour,30,Palm,6
Agents,3,head,8
Agent,6,arrived,37
despite,12,nothappy,11
went,19,friendly,15
Sacramento,3,skies,5
Minneapolis,3,relationship,3
end,15,2day,8
October,6,Canadian,5
2014,4,refund,116
Only,14,courtesy,15
chances,6,training,14
okay,16,update,71
sorted,6,looks,24
Excited,4,itinerary,17
concerned,4,abt,5
leave,18,partner,8
Traveling,9,snowing,6
Lauderdale,7,somewhere,11
cant,7,folks,15
moment,8,extra,81
four,3,hard,38
hours,26,communicate,8
tho,5,load,28
bought,12,onto,15
present,4,buy,29
unfortunately,3,operating,5
buy,11,634,3
requires,4,Phoenix,13
wheelchair,4,Every,18
exit,4,ground,61
row,12,course,16
emergency,6,intention,3
100,10,issue,119
means,7,lies,14
effort,5,directly,10
losing,4,Friday,16
news,11,charging,17
Hoping,7,freaking,8
soon,35,map,3
update,26,auto,14
offer,19,rebook,107
discounts,6,confirmed,30
children,6,outbound,8
put,29,departs,8
lap,4,fire,5
Seats,6,software,5
filled,5,aware,10
Yall,3,Unacceptable,28
sky,3,feature,8
rocks,6,Made,8
reLate,3,fit,13
Flightd,6,sound,6
perfect,9,hopeful,4
sun,4,thin,4
order,10,device,6
event,10,Laguardia,4
Imaginedragons,44,Louisville,3
fans,5,compensate,19
since,22,god,5
plus,16,chairman,4
Miami,12,status,63
list,10,match,11
wheels,3,passes,12
exact,4,followed,10
destination,17,steps,6
Santa,3,callback,18
angry,4,Zero,3
Kudos,15,Looking,6
specific,5,signs,3
nervous,4,cust,39
suggestions,6,six,10
Monday,18,joke,43
Guys,5,row,40
something,29,record,21
international,18,Didn,13
purchase,9,scheduled,43
landing,27,AFTER,7
February,8,Huge,7
asking,13,Should,18
huge,11,year,44
East,7,wtf,8
emails,3,direct,44
idea,20,purpose,5
International,7,fuel,11
cleared,4,exhausted,3
Charlotte,18,frequent,15
Karen,5,flier,3
providing,4,warm,5
frustrating,5,departure,63
situation,12,frozen,10
computer,5,water,29
attendants,16,lines,26
ATL,13,Twitter,31
PVD,7,act,12
tough,4,830,3
connect,9,Yet,9
dividend,3,difference,13
Paris,8,price,27
ways,6,near,8
kind,12,manage,9
early,28,nasty,11
dates,6,comment,4
VirginAtlantic,5,falling,5
GMA,3,apart,7
special,9,unitedfail,6
point,14,advance,8
charged,3,earlier,50
options,11,wanted,24
might,19,300,10
date,21,fees,28
volunteer,6,meals,7
life,19,uncomfortable,7
answering,3,Great,13
questions,8,charge,51
lets,5,NY_NJairports,4
department,4,Newark,25
gave,16,land,24
friendliest,3,early,59
calls,6,tarmac,44
speedy,4,feel,37
figured,5,Male,3
fine,8,Big,6
haha,13,guy,29
opens,4,standby,31
Logan,4,probably,21
Atlanta,23,Choice,4
sister,7,bit,17
traffic,4,made,120
web,6,forth,4
Love,34,require,3
cute,4,million,6
days,24,Oscars,9
waiting,25,ABC,5
BNA,8,Direct,6
FLL,18,Fail,11
Aww,5,watch,17
head,5,inside,12
pick,12,report,22
embossed,3,stow,3
badges,3,upset,34
patches,3,Flights,20
superior,4,honest,11
resolved,9,print,12
Too,6,screwed,20
named,5,big,31
desk,14,1st,60
incredibly,3,1hr,26
professional,9,boarded,35
met,10,Looks,11
listening,9,final,14
Apple,6,destination,42
Live,3,KyleJudah,4
Really,10,responsible,6
joke,3,God,6
beats,4,refuse,17
degrees,5,sympathy,5
sunny,4,After,31
applied,5,routing,4
MileagePlus,5,three,52
although,3,250,5
control,7,easy,18
came,7,class,61
notch,4,Seriously,25
ask,16,concerns,7
kid,3,four,19
near,6,avail,12
ticketed,4,flyer,21
stand,3,expensive,15
1970,3,handlers,7
Fingers,9,throwing,6
crossed,11,cart,7
Miss,3,Delay,5
Weather,6,learn,18
CEO,32,canned,10
JBLU,12,desk,52
News,7,HAVE,4
